,0,1,2,3,4,5,6,7,8
0,-4.0,-247.0,-74.0,-49.0,55.0,-7.0,-28.0,-941.0,-188.0
1,-5.0,-246.0,-72.0,-46.0,55.0,-6.0,-33.0,-941.0,-191.0
2,0.0,-247.0,-74.0,-43.0,55.0,-8.0,-32.0,-934.0,-190.0
3,-4.0,-244.0,-75.0,-41.0,57.0,-6.0,-29.0,-941.0,-187.0
4,0.0,-246.0,-77.0,-42.0,57.0,-8.0,-35.0,-942.0,-190.0
5,-7.0,-237.0,-81.0,-42.0,60.0,-5.0,-25.0,-939.0,-188.0
6,-1.0,-248.0,-77.0,-43.0,62.0,-8.0,-28.0,-939.0,-192.0
7,-1.0,-246.0,-72.0,-46.0,64.0,-6.0,-30.0,-937.0,-192.0
8,1.0,-246.0,-76.0,-48.0,64.0,-7.0,-29.0,-933.0,-197.0
9,-4.0,-242.0,-74.0,-52.0,67.0,-4.0,-30.0,-940.0,-198.0
10,-3.0,-244.0,-75.0,-57.0,67.0,-5.0,-32.0,-935.0,-197.0
11,0.0,-246.0,-77.0,-61.0,69.0,-3.0,-34.0,-936.0,-197.0
12,-4.0,-247.0,-73.0,-64.0,69.0,-3.0,-31.0,-936.0,-196.0
13,-2.0,-244.0,-81.0,-67.0,69.0,0.0,-29.0,-934.0,-198.0
14,-5.0,-246.0,-76.0,-69.0,69.0,0.0,-35.0,-935.0,-199.0
15,2.0,-242.0,-81.0,-69.0,68.0,3.0,-34.0,-942.0,-201.0
16,1.0,-253.0,-67.0,-70.0,67.0,2.0,-33.0,-938.0,-197.0
17,-4.0,-248.0,-74.0,-69.0,66.0,4.0,-37.0,-940.0,-195.0
18,-6.0,-245.0,-72.0,-68.0,66.0,4.0,-34.0,-942.0,-200.0
19,-2.0,-247.0,-76.0,-65.0,64.0,7.0,-36.0,-939.0,-203.0
20,-2.0,-248.0,-76.0,-61.0,65.0,6.0,-36.0,-939.0,-199.0
21,-3.0,-249.0,-74.0,-58.0,66.0,9.0,-35.0,-944.0,-197.0
22,-4.0,-247.0,-74.0,-52.0,63.0,10.0,-37.0,-943.0,-197.0
23,-5.0,-247.0,-76.0,-47.0,62.0,10.0,-33.0,-947.0,-199.0
24,-4.0,-249.0,-70.0,-42.0,59.0,10.0,-36.0,-944.0,-198.0
25,-3.0,-246.0,-86.0,-39.0,57.0,12.0,-37.0,-940.0,-204.0
26,-11.0,-242.0,-90.0,-35.0,54.0,12.0,-39.0,-942.0,-200.0
27,-4.0,-248.0,-74.0,-33.0,50.0,13.0,-38.0,-937.0,-198.0
28,-4.0,-248.0,-75.0,-31.0,47.0,14.0,-41.0,-942.0,-197.0
29,-7.0,-248.0,-75.0,-28.0,43.0,15.0,-46.0,-940.0,-196.0
30,-7.0,-244.0,-74.0,-28.0,39.0,15.0,-44.0,-939.0,-199.0
31,-9.0,-246.0,-75.0,-27.0,34.0,16.0,-46.0,-939.0,-196.0
32,-8.0,-249.0,-77.0,-29.0,28.0,17.0,-43.0,-942.0,-199.0
33,-6.0,-249.0,-73.0,-29.0,25.0,16.0,-46.0,-945.0,-199.0
34,-8.0,-250.0,-73.0,-28.0,20.0,18.0,-49.0,-938.0,-194.0
35,-7.0,-247.0,-73.0,-27.0,15.0,15.0,-48.0,-941.0,-196.0
36,-8.0,-246.0,-77.0,-28.0,12.0,16.0,-48.0,-943.0,-200.0
37,-2.0,-249.0,-81.0,-29.0,8.0,13.0,-47.0,-938.0,-197.0
38,-7.0,-249.0,-75.0,-30.0,5.0,10.0,-51.0,-942.0,-200.0
39,-10.0,-245.0,-75.0,-31.0,2.0,8.0,-45.0,-942.0,-201.0
40,-7.0,-246.0,-77.0,-32.0,-3.0,6.0,-46.0,-931.0,-204.0
41,-5.0,-245.0,-73.0,-35.0,-4.0,2.0,-39.0,-940.0,-203.0
42,-7.0,-245.0,-78.0,-37.0,-5.0,2.0,-37.0,-931.0,-205.0
43,-7.0,-244.0,-76.0,-39.0,-7.0,0.0,-38.0,-933.0,-203.0
