,0,1,2,3,4,5,6,7,8
0,24.0,-247.0,21.0,78.0,11.0,4.0,61.0,-1032.0,101.0
1,23.0,-252.0,18.0,83.0,12.0,4.0,60.0,-1031.0,97.0
2,25.0,-251.0,26.0,88.0,14.0,4.0,61.0,-1033.0,99.0
3,21.0,-251.0,16.0,98.0,14.0,4.0,56.0,-1030.0,94.0
4,24.0,-255.0,17.0,107.0,14.0,10.0,58.0,-1035.0,92.0
5,17.0,-246.0,26.0,113.0,13.0,11.0,53.0,-1024.0,89.0
6,23.0,-250.0,24.0,116.0,10.0,13.0,58.0,-1032.0,100.0
7,22.0,-250.0,17.0,117.0,7.0,16.0,59.0,-1023.0,94.0
8,20.0,-248.0,19.0,116.0,7.0,18.0,53.0,-1025.0,85.0
9,21.0,-249.0,18.0,116.0,5.0,18.0,49.0,-1032.0,78.0
10,20.0,-254.0,11.0,117.0,4.0,20.0,57.0,-1035.0,79.0
11,17.0,-251.0,18.0,119.0,2.0,22.0,53.0,-1034.0,77.0
12,19.0,-252.0,14.0,123.0,-2.0,25.0,56.0,-1037.0,74.0
13,24.0,-255.0,16.0,129.0,-4.0,26.0,54.0,-1036.0,71.0
14,21.0,-252.0,16.0,132.0,-7.0,29.0,52.0,-1051.0,73.0
15,15.0,-256.0,22.0,135.0,-9.0,30.0,54.0,-1052.0,77.0
16,20.0,-253.0,16.0,139.0,-12.0,32.0,48.0,-1054.0,83.0
17,18.0,-256.0,18.0,146.0,-18.0,35.0,48.0,-1062.0,82.0
18,19.0,-259.0,19.0,155.0,-29.0,35.0,42.0,-1064.0,84.0
19,16.0,-256.0,17.0,168.0,-39.0,34.0,39.0,-1065.0,85.0
20,18.0,-257.0,18.0,178.0,-44.0,30.0,40.0,-1066.0,80.0
21,17.0,-257.0,14.0,185.0,-43.0,27.0,40.0,-1066.0,88.0
22,18.0,-255.0,18.0,193.0,-38.0,18.0,42.0,-1063.0,87.0
23,18.0,-257.0,21.0,203.0,-28.0,8.0,52.0,-1062.0,84.0
24,22.0,-255.0,17.0,207.0,-15.0,-3.0,58.0,-1056.0,84.0
25,24.0,-254.0,19.0,211.0,-3.0,-13.0,56.0,-1050.0,92.0
26,25.0,-250.0,18.0,212.0,5.0,-20.0,69.0,-1038.0,101.0
27,25.0,-251.0,23.0,214.0,8.0,-24.0,70.0,-1028.0,102.0
28,25.0,-243.0,26.0,217.0,11.0,-26.0,77.0,-1009.0,105.0
