,0,1,2,3,4,5,6,7,8
0,0.0,-251.0,-57.0,-15.0,60.0,-6.0,-28.0,-968.0,-160.0
1,-1.0,-253.0,-56.0,-16.0,62.0,-4.0,-25.0,-967.0,-154.0
2,1.0,-252.0,-56.0,-17.0,62.0,-9.0,-26.0,-968.0,-154.0
3,-5.0,-250.0,-56.0,-18.0,63.0,-6.0,-29.0,-968.0,-153.0
4,0.0,-253.0,-56.0,-19.0,63.0,-7.0,-24.0,-971.0,-157.0
5,-1.0,-250.0,-54.0,-20.0,63.0,-6.0,-28.0,-978.0,-157.0
6,-3.0,-248.0,-51.0,-20.0,63.0,-7.0,-29.0,-973.0,-153.0
7,-4.0,-254.0,-62.0,-19.0,62.0,-5.0,-30.0,-971.0,-158.0
8,-2.0,-255.0,-58.0,-19.0,62.0,-7.0,-29.0,-975.0,-154.0
9,-3.0,-252.0,-57.0,-18.0,64.0,-4.0,-29.0,-976.0,-156.0
10,-1.0,-254.0,-57.0,-17.0,62.0,-5.0,-37.0,-973.0,-156.0
11,-3.0,-255.0,-56.0,-15.0,63.0,-2.0,-32.0,-974.0,-155.0
12,-4.0,-252.0,-57.0,-15.0,65.0,-3.0,-31.0,-971.0,-155.0
13,-3.0,-252.0,-56.0,-14.0,65.0,-1.0,-29.0,-971.0,-160.0
14,-4.0,-251.0,-58.0,-15.0,65.0,-1.0,-29.0,-972.0,-156.0
15,0.0,-252.0,-57.0,-14.0,66.0,0.0,-25.0,-976.0,-156.0
16,-3.0,-249.0,-54.0,-13.0,65.0,-1.0,-27.0,-970.0,-154.0
17,-5.0,-250.0,-57.0,-13.0,66.0,1.0,-26.0,-969.0,-156.0
18,-6.0,-248.0,-58.0,-9.0,64.0,-1.0,-26.0,-977.0,-151.0
19,-2.0,-250.0,-59.0,-7.0,63.0,1.0,-22.0,-967.0,-160.0
20,-2.0,-249.0,-58.0,-6.0,64.0,-2.0,-26.0,-965.0,-156.0
21,-1.0,-251.0,-55.0,-4.0,63.0,-1.0,-26.0,-967.0,-157.0
22,-1.0,-253.0,-57.0,-2.0,62.0,-2.0,-25.0,-968.0,-157.0
23,-3.0,-252.0,-57.0,0.0,62.0,0.0,-30.0,-961.0,-159.0
24,-1.0,-249.0,-59.0,0.0,61.0,-2.0,-37.0,-966.0,-160.0
25,0.0,-251.0,-56.0,-1.0,60.0,-1.0,-28.0,-966.0,-159.0
26,-3.0,-248.0,-58.0,-1.0,60.0,-2.0,-36.0,-966.0,-157.0
27,-3.0,-250.0,-56.0,-1.0,58.0,-1.0,-36.0,-964.0,-161.0
28,-3.0,-252.0,-59.0,-4.0,58.0,-3.0,-30.0,-965.0,-156.0
29,-2.0,-251.0,-57.0,-6.0,56.0,-4.0,-34.0,-965.0,-156.0
30,-3.0,-253.0,-57.0,-9.0,57.0,-7.0,-35.0,-965.0,-157.0
31,-3.0,-249.0,-57.0,-11.0,57.0,-4.0,-27.0,-972.0,-153.0
32,-1.0,-251.0,-56.0,-13.0,56.0,-5.0,-27.0,-971.0,-154.0
33,-4.0,-251.0,-57.0,-15.0,58.0,-4.0,-26.0,-972.0,-156.0
34,1.0,-250.0,-56.0,-16.0,57.0,-6.0,-32.0,-972.0,-154.0
35,-1.0,-250.0,-58.0,-15.0,58.0,-4.0,-28.0,-972.0,-155.0
36,-1.0,-254.0,-59.0,-15.0,57.0,-4.0,-32.0,-970.0,-151.0
37,-2.0,-253.0,-59.0,-15.0,57.0,-3.0,-28.0,-970.0,-152.0
38,0.0,-253.0,-57.0,-15.0,58.0,-4.0,-26.0,-966.0,-153.0
39,-1.0,-251.0,-56.0,-16.0,59.0,-3.0,-28.0,-969.0,-153.0
40,-3.0,-250.0,-61.0,-16.0,58.0,-2.0,-27.0,-964.0,-153.0
41,-2.0,-250.0,-57.0,-18.0,57.0,-1.0,-33.0,-971.0,-153.0
42,-3.0,-250.0,-60.0,-19.0,56.0,-2.0,-33.0,-966.0,-154.0
43,-1.0,-251.0,-56.0,-20.0,56.0,0.0,-31.0,-966.0,-159.0
44,-1.0,-252.0,-59.0,-18.0,57.0,-1.0,-31.0,-962.0,-154.0
45,-2.0,-252.0,-58.0,-17.0,58.0,1.0,-32.0,-967.0,-159.0
46,-3.0,-249.0,-55.0,-15.0,58.0,0.0,-37.0,-969.0,-158.0
47,-4.0,-251.0,-56.0,-15.0,59.0,-1.0,-35.0,-970.0,-161.0
