,0,1,2,3,4,5,6,7,8
0,-2.0,-262.0,45.0,-13.0,67.0,-10.0,14.0,-1024.0,159.0
1,-4.0,-261.0,46.0,-15.0,68.0,-10.0,17.0,-1025.0,162.0
2,-3.0,-261.0,44.0,-16.0,67.0,-8.0,12.0,-1022.0,159.0
3,0.0,-261.0,50.0,-19.0,68.0,-9.0,15.0,-1023.0,160.0
4,-3.0,-260.0,49.0,-21.0,68.0,-11.0,11.0,-1025.0,161.0
5,-4.0,-258.0,42.0,-24.0,68.0,-12.0,16.0,-1026.0,165.0
6,-3.0,-260.0,51.0,-26.0,66.0,-11.0,18.0,-1030.0,163.0
7,-2.0,-261.0,48.0,-27.0,66.0,-10.0,13.0,-1027.0,162.0
8,-4.0,-261.0,48.0,-31.0,66.0,-11.0,13.0,-1027.0,161.0
9,-2.0,-263.0,44.0,-34.0,66.0,-11.0,11.0,-1035.0,160.0
10,-2.0,-263.0,47.0,-36.0,64.0,-10.0,12.0,-1046.0,160.0
11,-2.0,-264.0,47.0,-38.0,64.0,-8.0,6.0,-1054.0,158.0
12,-4.0,-264.0,43.0,-38.0,62.0,-6.0,10.0,-1044.0,157.0
13,-5.0,-264.0,45.0,-37.0,62.0,-6.0,13.0,-1044.0,156.0
14,-2.0,-265.0,48.0,-35.0,63.0,-6.0,10.0,-1050.0,154.0
15,-2.0,-263.0,47.0,-33.0,61.0,-3.0,9.0,-1051.0,154.0
16,-1.0,-264.0,46.0,-30.0,61.0,-4.0,13.0,-1049.0,154.0
17,-5.0,-261.0,43.0,-28.0,61.0,-5.0,10.0,-1045.0,158.0
18,-1.0,-266.0,44.0,-24.0,60.0,-3.0,14.0,-1043.0,152.0
19,-5.0,-263.0,48.0,-21.0,62.0,-2.0,16.0,-1048.0,155.0
20,-3.0,-262.0,49.0,-18.0,62.0,-2.0,12.0,-1047.0,159.0
21,-4.0,-263.0,46.0,-15.0,62.0,-3.0,14.0,-1038.0,155.0
22,-2.0,-266.0,47.0,-12.0,61.0,-4.0,18.0,-1044.0,156.0
23,0.0,-264.0,45.0,-7.0,61.0,-1.0,13.0,-1039.0,159.0
24,-1.0,-263.0,45.0,-4.0,61.0,-3.0,14.0,-1038.0,156.0
25,-3.0,-262.0,47.0,-3.0,62.0,-2.0,17.0,-1038.0,160.0
26,-6.0,-266.0,43.0,0.0,64.0,-2.0,15.0,-1050.0,155.0
27,0.0,-263.0,48.0,2.0,63.0,-2.0,15.0,-1033.0,157.0
28,0.0,-260.0,48.0,3.0,63.0,-2.0,16.0,-1043.0,158.0
29,-3.0,-259.0,48.0,6.0,65.0,-3.0,17.0,-1031.0,157.0
30,-3.0,-264.0,46.0,9.0,65.0,-2.0,14.0,-1029.0,157.0
31,-3.0,-261.0,48.0,10.0,65.0,-2.0,17.0,-1030.0,157.0
32,-2.0,-259.0,48.0,9.0,65.0,-2.0,15.0,-1032.0,162.0
33,-5.0,-259.0,44.0,7.0,66.0,-1.0,16.0,-1029.0,163.0
34,0.0,-259.0,46.0,6.0,67.0,-2.0,16.0,-1026.0,160.0
35,1.0,-262.0,48.0,2.0,67.0,-1.0,23.0,-1023.0,158.0
36,-4.0,-260.0,46.0,-1.0,68.0,-1.0,18.0,-1024.0,161.0
37,-1.0,-261.0,50.0,-4.0,69.0,-3.0,20.0,-1031.0,158.0
38,-1.0,-262.0,45.0,-7.0,71.0,-3.0,13.0,-1033.0,157.0
39,-2.0,-258.0,48.0,-9.0,71.0,-3.0,18.0,-1027.0,159.0
40,-1.0,-259.0,48.0,-12.0,73.0,-4.0,22.0,-1029.0,157.0
41,0.0,-261.0,46.0,-13.0,75.0,-5.0,24.0,-1034.0,155.0
42,0.0,-259.0,48.0,-14.0,77.0,-4.0,19.0,-1031.0,156.0
43,0.0,-261.0,46.0,-17.0,78.0,-5.0,15.0,-1030.0,156.0
44,0.0,-262.0,50.0,-19.0,79.0,-6.0,16.0,-1030.0,159.0
45,-2.0,-263.0,43.0,-19.0,81.0,-8.0,18.0,-1029.0,155.0
46,-1.0,-262.0,44.0,-20.0,80.0,-10.0,16.0,-1028.0,160.0
47,0.0,-262.0,49.0,-20.0,81.0,-9.0,15.0,-1027.0,155.0
48,-2.0,-262.0,43.0,-22.0,82.0,-8.0,17.0,-1025.0,152.0
49,-2.0,-261.0,47.0,-22.0,82.0,-9.0,17.0,-1029.0,156.0
50,-1.0,-262.0,44.0,-24.0,80.0,-8.0,14.0,-1028.0,154.0
51,-4.0,-261.0,48.0,-26.0,80.0,-9.0,16.0,-1029.0,156.0
52,0.0,-262.0,48.0,-26.0,79.0,-8.0,11.0,-1030.0,152.0
53,-5.0,-264.0,45.0,-27.0,79.0,-8.0,10.0,-1027.0,155.0
54,-3.0,-262.0,50.0,-28.0,78.0,-6.0,13.0,-1021.0,157.0
55,-2.0,-264.0,50.0,-29.0,78.0,-6.0,11.0,-1032.0,156.0
56,-1.0,-263.0,47.0,-30.0,79.0,-5.0,11.0,-1032.0,158.0
57,-1.0,-260.0,45.0,-30.0,76.0,-5.0,12.0,-1033.0,157.0
58,-2.0,-261.0,52.0,-31.0,74.0,-6.0,14.0,-1030.0,158.0
59,-1.0,-261.0,46.0,-32.0,75.0,-6.0,11.0,-1035.0,158.0
60,-4.0,-261.0,46.0,-32.0,74.0,-6.0,15.0,-1039.0,155.0
61,1.0,-261.0,44.0,-32.0,74.0,-7.0,15.0,-1042.0,160.0
62,0.0,-264.0,47.0,-32.0,75.0,-6.0,10.0,-1038.0,154.0
63,-3.0,-264.0,44.0,-33.0,74.0,-8.0,11.0,-1036.0,158.0
64,0.0,-265.0,46.0,-31.0,73.0,-8.0,18.0,-1038.0,155.0
65,-4.0,-263.0,48.0,-30.0,72.0,-8.0,14.0,-1041.0,154.0
66,-3.0,-267.0,45.0,-28.0,71.0,-8.0,10.0,-1044.0,158.0
67,-1.0,-264.0,43.0,-25.0,71.0,-7.0,10.0,-1044.0,155.0
68,0.0,-265.0,50.0,-24.0,71.0,-7.0,12.0,-1045.0,158.0
69,-3.0,-263.0,44.0,-23.0,70.0,-8.0,14.0,-1042.0,157.0
70,-5.0,-263.0,46.0,-22.0,70.0,-6.0,14.0,-1045.0,152.0
71,-4.0,-262.0,50.0,-21.0,68.0,-8.0,11.0,-1039.0,156.0
72,-3.0,-261.0,46.0,-20.0,67.0,-6.0,14.0,-1035.0,153.0
73,-1.0,-262.0,45.0,-19.0,67.0,-5.0,17.0,-1035.0,159.0
74,0.0,-263.0,47.0,-19.0,66.0,-4.0,12.0,-1034.0,160.0
75,-2.0,-261.0,44.0,-21.0,66.0,-3.0,10.0,-1031.0,155.0
76,-2.0,-261.0,46.0,-22.0,64.0,-3.0,12.0,-1029.0,156.0
77,0.0,-262.0,48.0,-23.0,64.0,-3.0,15.0,-1036.0,158.0
78,-1.0,-261.0,48.0,-24.0,62.0,-2.0,13.0,-1038.0,159.0
79,-1.0,-264.0,45.0,-23.0,61.0,-1.0,14.0,-1040.0,153.0
80,-2.0,-262.0,43.0,-20.0,61.0,-2.0,14.0,-1034.0,160.0
81,-1.0,-263.0,46.0,-17.0,61.0,-1.0,16.0,-1033.0,156.0
82,-2.0,-261.0,45.0,-16.0,62.0,0.0,14.0,-1044.0,160.0
83,-1.0,-262.0,47.0,-12.0,63.0,-1.0,17.0,-1036.0,157.0
84,-1.0,-264.0,46.0,-11.0,64.0,-2.0,17.0,-1034.0,154.0
85,-1.0,-260.0,46.0,-11.0,64.0,0.0,15.0,-1039.0,156.0
86,-1.0,-261.0,45.0,-8.0,64.0,-1.0,13.0,-1027.0,156.0
87,-3.0,-262.0,45.0,-6.0,64.0,-1.0,17.0,-1034.0,158.0
88,0.0,-259.0,48.0,-7.0,66.0,-1.0,17.0,-1035.0,158.0
89,-2.0,-261.0,46.0,-6.0,66.0,-1.0,20.0,-1031.0,153.0
90,-2.0,-263.0,39.0,-7.0,67.0,-1.0,17.0,-1033.0,151.0
91,0.0,-262.0,46.0,-8.0,67.0,0.0,12.0,-1032.0,157.0
92,0.0,-263.0,50.0,-8.0,67.0,-3.0,15.0,-1031.0,154.0
93,-2.0,-262.0,43.0,-10.0,68.0,-2.0,19.0,-1036.0,153.0
94,-2.0,-262.0,48.0,-9.0,68.0,-1.0,18.0,-1031.0,154.0
95,0.0,-265.0,44.0,-8.0,71.0,-1.0,20.0,-1032.0,152.0
96,-2.0,-260.0,45.0,-9.0,71.0,-1.0,21.0,-1031.0,155.0
97,-1.0,-264.0,45.0,-10.0,72.0,-1.0,15.0,-1039.0,156.0
98,0.0,-262.0,46.0,-10.0,71.0,-1.0,21.0,-1029.0,156.0
99,-2.0,-260.0,48.0,-9.0,70.0,0.0,18.0,-1026.0,159.0
100,1.0,-263.0,46.0,-10.0,70.0,-1.0,16.0,-1033.0,154.0
101,0.0,-262.0,48.0,-12.0,73.0,-2.0,15.0,-1031.0,155.0
102,-2.0,-261.0,48.0,-14.0,73.0,-3.0,17.0,-1032.0,158.0
103,-1.0,-261.0,47.0,-17.0,71.0,-2.0,15.0,-1032.0,152.0
104,-3.0,-260.0,46.0,-18.0,72.0,-3.0,16.0,-1032.0,154.0
105,-1.0,-263.0,42.0,-20.0,71.0,-2.0,17.0,-1034.0,154.0
106,-5.0,-262.0,46.0,-20.0,71.0,-4.0,14.0,-1039.0,152.0
107,-1.0,-263.0,45.0,-20.0,73.0,-3.0,15.0,-1037.0,151.0
108,-3.0,-262.0,47.0,-20.0,73.0,-2.0,18.0,-1035.0,153.0
109,-1.0,-263.0,47.0,-18.0,71.0,-5.0,14.0,-1036.0,156.0
