,0,1,2,3,4,5,6,7,8
0,18.0,-248.0,-46.0,-31.0,32.0,19.0,43.0,-951.0,-118.0
1,18.0,-244.0,-47.0,-34.0,28.0,21.0,48.0,-952.0,-108.0
2,17.0,-243.0,-47.0,-41.0,22.0,23.0,52.0,-944.0,-104.0
3,18.0,-245.0,-44.0,-50.0,17.0,25.0,50.0,-945.0,-101.0
4,20.0,-244.0,-42.0,-60.0,10.0,28.0,51.0,-943.0,-101.0
5,22.0,-245.0,-47.0,-73.0,7.0,30.0,50.0,-948.0,-97.0
6,26.0,-238.0,-61.0,-88.0,4.0,31.0,55.0,-945.0,-107.0
7,23.0,-227.0,-38.0,-101.0,3.0,32.0,59.0,-948.0,-107.0
8,24.0,-248.0,-44.0,-119.0,2.0,33.0,59.0,-953.0,-109.0
9,23.0,-248.0,-49.0,-136.0,5.0,33.0,60.0,-953.0,-118.0
10,20.0,-248.0,-51.0,-151.0,10.0,32.0,58.0,-956.0,-119.0
11,23.0,-251.0,-51.0,-166.0,14.0,33.0,58.0,-963.0,-123.0
12,22.0,-249.0,-45.0,-179.0,20.0,31.0,69.0,-969.0,-123.0
13,24.0,-249.0,-51.0,-188.0,25.0,30.0,64.0,-974.0,-128.0
14,24.0,-254.0,-50.0,-193.0,30.0,28.0,64.0,-972.0,-129.0
15,23.0,-253.0,-47.0,-192.0,33.0,27.0,68.0,-983.0,-134.0
16,20.0,-257.0,-52.0,-191.0,34.0,23.0,65.0,-998.0,-138.0
17,23.0,-255.0,-59.0,-187.0,35.0,20.0,70.0,-988.0,-142.0
18,32.0,-255.0,-54.0,-178.0,38.0,16.0,67.0,-992.0,-143.0
19,23.0,-257.0,-56.0,-167.0,40.0,14.0,68.0,-998.0,-148.0
20,23.0,-256.0,-57.0,-157.0,41.0,10.0,66.0,-1003.0,-151.0
21,24.0,-254.0,-56.0,-143.0,41.0,5.0,62.0,-996.0,-152.0
22,21.0,-259.0,-59.0,-126.0,42.0,2.0,62.0,-1002.0,-153.0
23,23.0,-258.0,-56.0,-113.0,44.0,-2.0,60.0,-1000.0,-154.0
24,22.0,-259.0,-55.0,-98.0,47.0,-4.0,59.0,-1002.0,-152.0
25,22.0,-256.0,-54.0,-85.0,50.0,-8.0,58.0,-1001.0,-148.0
26,23.0,-257.0,-55.0,-71.0,51.0,-10.0,55.0,-1002.0,-144.0
27,20.0,-256.0,-54.0,-57.0,52.0,-12.0,57.0,-1001.0,-148.0
28,21.0,-256.0,-54.0,-46.0,51.0,-14.0,51.0,-997.0,-150.0
29,19.0,-256.0,-56.0,-36.0,53.0,-13.0,49.0,-988.0,-147.0
30,18.0,-255.0,-56.0,-28.0,52.0,-16.0,47.0,-981.0,-146.0
31,19.0,-255.0,-55.0,-22.0,50.0,-15.0,41.0,-979.0,-148.0
32,16.0,-252.0,-52.0,-20.0,50.0,-16.0,43.0,-975.0,-150.0
33,17.0,-256.0,-55.0,-20.0,47.0,-15.0,43.0,-978.0,-146.0
34,20.0,-253.0,-53.0,-22.0,45.0,-14.0,42.0,-981.0,-153.0
