,0,1,2,3,4,5,6,7,8
0,4.0,-245.0,-36.0,27.0,15.0,-9.0,11.0,-1006.0,-140.0
1,1.0,-245.0,-35.0,29.0,15.0,-9.0,10.0,-1001.0,-143.0
2,2.0,-248.0,-40.0,31.0,16.0,-9.0,4.0,-1008.0,-140.0
3,4.0,-248.0,-37.0,34.0,16.0,-9.0,11.0,-1002.0,-141.0
4,4.0,-248.0,-38.0,35.0,15.0,-9.0,7.0,-1006.0,-136.0
5,6.0,-244.0,-39.0,38.0,15.0,-8.0,4.0,-1003.0,-135.0
6,1.0,-248.0,-37.0,40.0,15.0,-7.0,6.0,-1003.0,-139.0
7,-3.0,-244.0,-40.0,43.0,15.0,-8.0,6.0,-1006.0,-134.0
8,2.0,-244.0,-37.0,46.0,15.0,-6.0,6.0,-1004.0,-137.0
9,1.0,-249.0,-37.0,47.0,15.0,-6.0,9.0,-1005.0,-143.0
10,2.0,-249.0,-40.0,50.0,14.0,-8.0,5.0,-1008.0,-136.0
11,1.0,-250.0,-39.0,51.0,12.0,-10.0,4.0,-1007.0,-139.0
12,-1.0,-248.0,-36.0,53.0,10.0,-10.0,5.0,-1003.0,-136.0
13,3.0,-249.0,-39.0,53.0,7.0,-10.0,3.0,-1003.0,-139.0
14,3.0,-243.0,-39.0,55.0,5.0,-9.0,5.0,-999.0,-144.0
15,6.0,-245.0,-36.0,58.0,4.0,-9.0,7.0,-1005.0,-137.0
16,8.0,-252.0,-30.0,59.0,2.0,-9.0,9.0,-1005.0,-137.0
17,3.0,-245.0,-36.0,58.0,2.0,-10.0,7.0,-1002.0,-142.0
18,1.0,-245.0,-39.0,57.0,0.0,-9.0,9.0,-1000.0,-138.0
19,1.0,-247.0,-44.0,55.0,0.0,-7.0,6.0,-1004.0,-146.0
20,5.0,-245.0,-37.0,54.0,1.0,-7.0,8.0,-1000.0,-139.0
21,4.0,-247.0,-40.0,53.0,1.0,-8.0,9.0,-998.0,-143.0
22,4.0,-246.0,-37.0,52.0,3.0,-9.0,8.0,-1001.0,-139.0
23,3.0,-247.0,-37.0,53.0,3.0,-8.0,15.0,-1001.0,-140.0
24,3.0,-245.0,-38.0,54.0,4.0,-9.0,17.0,-1000.0,-138.0
25,4.0,-252.0,-40.0,54.0,5.0,-11.0,14.0,-1001.0,-137.0
26,5.0,-246.0,-40.0,55.0,5.0,-9.0,15.0,-1003.0,-139.0
27,5.0,-249.0,-42.0,57.0,6.0,-8.0,18.0,-1007.0,-136.0
28,5.0,-246.0,-37.0,57.0,6.0,-9.0,15.0,-1003.0,-141.0
29,6.0,-248.0,-40.0,57.0,10.0,-11.0,13.0,-1005.0,-142.0
30,4.0,-247.0,-38.0,58.0,9.0,-12.0,15.0,-1006.0,-142.0
31,0.0,-246.0,-39.0,59.0,9.0,-11.0,21.0,-1003.0,-149.0
32,3.0,-248.0,-40.0,61.0,11.0,-11.0,16.0,-1001.0,-142.0
33,4.0,-247.0,-41.0,63.0,12.0,-13.0,12.0,-1005.0,-147.0
34,2.0,-250.0,-41.0,68.0,14.0,-14.0,14.0,-1002.0,-147.0
35,4.0,-247.0,-39.0,71.0,15.0,-14.0,13.0,-1008.0,-146.0
36,1.0,-243.0,-43.0,70.0,16.0,-12.0,11.0,-1003.0,-145.0
37,3.0,-245.0,-39.0,71.0,19.0,-14.0,11.0,-1003.0,-141.0
38,3.0,-244.0,-41.0,71.0,20.0,-11.0,15.0,-1004.0,-145.0
39,3.0,-246.0,-38.0,70.0,20.0,-12.0,12.0,-1003.0,-142.0
40,3.0,-245.0,-37.0,71.0,22.0,-10.0,10.0,-1005.0,-139.0
41,2.0,-247.0,-39.0,72.0,24.0,-11.0,13.0,-1008.0,-144.0
42,7.0,-246.0,-40.0,72.0,25.0,-12.0,13.0,-1003.0,-144.0
43,3.0,-244.0,-40.0,74.0,25.0,-12.0,14.0,-1004.0,-150.0
44,3.0,-247.0,-40.0,77.0,25.0,-12.0,9.0,-1000.0,-145.0
45,1.0,-243.0,-38.0,79.0,25.0,-12.0,10.0,-998.0,-147.0
46,4.0,-247.0,-43.0,82.0,23.0,-12.0,12.0,-1006.0,-151.0
47,5.0,-247.0,-44.0,85.0,21.0,-14.0,17.0,-1006.0,-143.0
48,0.0,-248.0,-38.0,86.0,18.0,-16.0,6.0,-1002.0,-144.0
49,1.0,-245.0,-39.0,87.0,16.0,-14.0,8.0,-1001.0,-142.0
50,1.0,-245.0,-37.0,88.0,15.0,-14.0,7.0,-996.0,-142.0
51,2.0,-245.0,-40.0,90.0,14.0,-14.0,7.0,-1004.0,-146.0
52,2.0,-248.0,-38.0,90.0,12.0,-15.0,12.0,-1000.0,-139.0
53,4.0,-245.0,-38.0,90.0,12.0,-13.0,7.0,-1000.0,-138.0
54,1.0,-246.0,-39.0,90.0,13.0,-13.0,7.0,-1009.0,-142.0
55,4.0,-246.0,-39.0,92.0,14.0,-13.0,12.0,-1002.0,-144.0
56,4.0,-246.0,-40.0,92.0,16.0,-13.0,7.0,-998.0,-145.0
57,4.0,-250.0,-42.0,92.0,18.0,-13.0,8.0,-999.0,-142.0
58,5.0,-246.0,-30.0,93.0,19.0,-15.0,8.0,-1007.0,-141.0
59,4.0,-244.0,-39.0,94.0,21.0,-15.0,15.0,-1001.0,-144.0
60,3.0,-246.0,-37.0,95.0,22.0,-16.0,19.0,-1004.0,-142.0
61,4.0,-245.0,-35.0,93.0,24.0,-16.0,18.0,-1006.0,-142.0
62,7.0,-247.0,-37.0,91.0,24.0,-15.0,16.0,-1003.0,-137.0
63,3.0,-247.0,-42.0,89.0,24.0,-15.0,21.0,-1004.0,-141.0
64,4.0,-246.0,-39.0,86.0,26.0,-16.0,15.0,-1003.0,-144.0
65,7.0,-248.0,-37.0,85.0,26.0,-16.0,19.0,-997.0,-142.0
66,5.0,-246.0,-37.0,82.0,26.0,-14.0,13.0,-1000.0,-140.0
67,3.0,-243.0,-38.0,81.0,26.0,-14.0,19.0,-997.0,-141.0
68,6.0,-241.0,-40.0,83.0,27.0,-14.0,17.0,-994.0,-143.0
69,4.0,-245.0,-36.0,83.0,27.0,-13.0,14.0,-989.0,-142.0
70,5.0,-246.0,-37.0,82.0,27.0,-13.0,12.0,-999.0,-147.0
71,3.0,-244.0,-40.0,81.0,27.0,-12.0,12.0,-997.0,-141.0
72,2.0,-244.0,-36.0,79.0,27.0,-13.0,13.0,-993.0,-141.0
73,2.0,-246.0,-40.0,77.0,27.0,-16.0,9.0,-999.0,-141.0
