,0,1,2,3,4,5,6,7,8
0,14.0,-254.0,-45.0,-22.0,68.0,1.0,20.0,-970.0,-89.0
1,14.0,-253.0,-40.0,-23.0,70.0,-3.0,22.0,-974.0,-91.0
2,11.0,-254.0,-37.0,-22.0,71.0,1.0,20.0,-974.0,-86.0
3,15.0,-258.0,-44.0,-18.0,72.0,-1.0,13.0,-978.0,-81.0
4,12.0,-256.0,-41.0,-11.0,72.0,0.0,19.0,-986.0,-87.0
5,14.0,-256.0,-40.0,-5.0,72.0,-3.0,17.0,-985.0,-86.0
6,13.0,-254.0,-41.0,1.0,73.0,-1.0,18.0,-986.0,-86.0
7,10.0,-254.0,-43.0,3.0,72.0,-3.0,15.0,-975.0,-90.0
8,11.0,-250.0,-41.0,3.0,71.0,-1.0,16.0,-978.0,-95.0
9,11.0,-256.0,-48.0,-1.0,68.0,-1.0,18.0,-975.0,-93.0
10,12.0,-253.0,-41.0,-6.0,66.0,1.0,18.0,-974.0,-98.0
11,11.0,-252.0,-44.0,-8.0,64.0,-1.0,12.0,-974.0,-96.0
12,11.0,-254.0,-42.0,-9.0,63.0,2.0,19.0,-976.0,-93.0
13,7.0,-255.0,-45.0,-10.0,61.0,1.0,13.0,-973.0,-95.0
14,12.0,-251.0,-41.0,-10.0,59.0,3.0,19.0,-982.0,-92.0
15,14.0,-254.0,-43.0,-8.0,57.0,1.0,16.0,-980.0,-90.0
16,11.0,-258.0,-43.0,-4.0,55.0,3.0,18.0,-980.0,-93.0
17,14.0,-256.0,-42.0,-1.0,54.0,0.0,12.0,-978.0,-93.0
18,10.0,-255.0,-45.0,2.0,52.0,3.0,17.0,-979.0,-97.0
19,11.0,-252.0,-42.0,1.0,52.0,0.0,17.0,-977.0,-103.0
20,11.0,-255.0,-42.0,-1.0,56.0,2.0,16.0,-982.0,-100.0
21,11.0,-252.0,-48.0,-3.0,55.0,-1.0,18.0,-974.0,-97.0
22,14.0,-261.0,-53.0,-7.0,55.0,2.0,17.0,-971.0,-91.0
23,16.0,-252.0,-36.0,-9.0,56.0,-2.0,21.0,-974.0,-96.0
24,16.0,-249.0,-53.0,-12.0,58.0,0.0,20.0,-971.0,-95.0
25,8.0,-254.0,-40.0,-13.0,58.0,-3.0,18.0,-975.0,-93.0
26,10.0,-254.0,-44.0,-14.0,56.0,0.0,21.0,-977.0,-99.0
27,11.0,-256.0,-37.0,-12.0,51.0,-1.0,20.0,-971.0,-95.0
28,8.0,-255.0,-47.0,-10.0,48.0,1.0,17.0,-974.0,-99.0
29,13.0,-251.0,-38.0,-7.0,46.0,0.0,17.0,-975.0,-101.0
30,18.0,-246.0,-36.0,-6.0,42.0,1.0,19.0,-975.0,-98.0
31,4.0,-257.0,-52.0,-5.0,41.0,0.0,16.0,-976.0,-102.0
32,19.0,-245.0,-49.0,-7.0,39.0,3.0,17.0,-978.0,-103.0
33,15.0,-256.0,-38.0,-9.0,40.0,0.0,19.0,-976.0,-98.0
34,12.0,-258.0,-41.0,-11.0,40.0,3.0,17.0,-975.0,-94.0
35,12.0,-250.0,-19.0,-10.0,42.0,0.0,21.0,-976.0,-92.0
36,21.0,-255.0,-36.0,-10.0,41.0,2.0,14.0,-980.0,-93.0
37,13.0,-254.0,-39.0,-9.0,38.0,0.0,22.0,-976.0,-92.0
38,6.0,-251.0,-45.0,-5.0,39.0,2.0,21.0,-977.0,-93.0
39,12.0,-237.0,-30.0,-2.0,38.0,-1.0,20.0,-980.0,-98.0
40,12.0,-254.0,-43.0,0.0,37.0,1.0,20.0,-977.0,-99.0
41,13.0,-256.0,-45.0,3.0,34.0,-1.0,21.0,-975.0,-101.0
42,14.0,-254.0,-48.0,3.0,33.0,2.0,20.0,-975.0,-100.0
43,12.0,-251.0,-46.0,1.0,33.0,-3.0,22.0,-973.0,-100.0
44,14.0,-256.0,-48.0,-3.0,33.0,1.0,25.0,-971.0,-101.0
45,16.0,-253.0,-43.0,-6.0,34.0,-2.0,25.0,-971.0,-95.0
46,13.0,-252.0,-42.0,-6.0,35.0,0.0,22.0,-972.0,-96.0
47,12.0,-253.0,-45.0,-6.0,38.0,-2.0,27.0,-974.0,-99.0
48,14.0,-255.0,-44.0,-4.0,39.0,0.0,23.0,-977.0,-100.0
49,19.0,-256.0,-46.0,-3.0,40.0,-4.0,22.0,-976.0,-99.0
50,15.0,-254.0,-44.0,-6.0,42.0,-1.0,26.0,-974.0,-97.0
51,12.0,-251.0,-45.0,-5.0,45.0,-3.0,23.0,-973.0,-96.0
52,15.0,-256.0,-44.0,-5.0,47.0,0.0,31.0,-974.0,-98.0
53,16.0,-252.0,-45.0,-3.0,48.0,-2.0,27.0,-973.0,-96.0
54,15.0,-255.0,-47.0,-3.0,47.0,0.0,25.0,-972.0,-94.0
55,14.0,-256.0,-47.0,-2.0,48.0,-2.0,25.0,-972.0,-92.0
56,13.0,-253.0,-47.0,-3.0,47.0,-1.0,23.0,-977.0,-90.0
57,14.0,-252.0,-42.0,-3.0,48.0,-3.0,22.0,-977.0,-91.0
58,14.0,-257.0,-47.0,-4.0,49.0,0.0,24.0,-974.0,-86.0
59,14.0,-252.0,-44.0,-5.0,51.0,-2.0,22.0,-976.0,-95.0
60,17.0,-253.0,-41.0,-5.0,49.0,0.0,25.0,-978.0,-92.0
61,14.0,-254.0,-44.0,-5.0,49.0,-3.0,20.0,-978.0,-97.0
62,11.0,-251.0,-47.0,-5.0,48.0,-1.0,20.0,-971.0,-102.0
63,14.0,-255.0,-47.0,-5.0,52.0,-3.0,22.0,-978.0,-100.0
64,12.0,-254.0,-48.0,-8.0,53.0,1.0,21.0,-972.0,-101.0
65,11.0,-253.0,-43.0,-12.0,54.0,-2.0,22.0,-972.0,-106.0
66,14.0,-253.0,-46.0,-18.0,53.0,1.0,19.0,-971.0,-102.0
